elapsed_wall_seconds,x,y,z,roll,pitch,yaw,cmd_vel_publishers,joint_state_messages,rgb_messages
5.002566,3.1000000125356744,4.402110733516117,0.3750005806479028,-5.914357458737686e-08,1.6049046308037655e-09,1.5707963222813335,0,0,0
6.002331,3.1000000125356744,4.402110733516117,0.3750005806479028,-5.914357458737686e-08,1.6049046308037655e-09,1.5707963222813335,0,0,0
7.002929,3.1000000170811908,4.406369945278292,0.37493804556120197,-7.888957840346181e-08,8.91687353344948e-09,1.5707963189827434,0,0,0
8.002369,3.1000001623670252,4.578543329947107,0.280271488054795,6.791706571835637e-08,0.00020397380442862227,1.570796309594323,0,0,4
9.002441,3.1000001657889156,4.578543620895212,0.2812591584403829,7.82864658123716e-08,0.00020485466656922774,1.570796309599177,0,0,14
10.002329,3.1000001691553907,4.578543907132358,0.2822308341634009,8.848797156494876e-08,0.00020572126545402485,1.5707963096039628,0,0,24
11.002426,3.100000172494158,4.578544191013881,0.2831945125549183,9.86055448526309e-08,0.00020658073352083665,1.5707963096087079,0,0,33
12.002481,3.1000001759229754,4.578544482552594,0.2841841822718866,1.0899603040965383e-07,0.00020746338400623156,1.5707963096135855,0,0,43
13.002347,3.100000179261743,4.578544766435113,0.28514786066250336,1.1911366535957362e-07,0.0002083228554705964,1.5707963096183641,0,0,53
14.002621,3.1000001826559256,4.578545055029861,0.28612753371474997,1.2939925903551505e-07,0.00020919659373965608,1.5707963096232327,0,0,63
15.002417,3.100000185987766,4.578545338324395,0.28708921277171345,1.3949596422241203e-07,0.00021005428543964918,1.5707963096280178,0,0,72
16.002408,3.10000018931268,4.578545621030307,0.28804889249547594,1.4957170852203332e-07,0.00021091019566086514,1.570796309632787,0,0,82
17.002396,3.1000001927207164,4.578545910804504,0.28903256421187556,1.5989937772235122e-07,0.0002117875053628064,1.570796309637682,0,0,91
18.002378,3.1000001960871915,4.578546197045103,0.29000423993127966,1.7010113085409e-07,0.00021265411788061038,1.5707963096425386,0,0,100
